tips,trip_start_timestamp,trip_seconds,trip_miles,pickup_community_area,pickup_centroid_latitude,pickup_centroid_longitude,dropoff_community_area,fare,tolls,extras,trip_total
11.5,2023-05-31T23:30:00.000,1504,21.09,76,41.980264315,-87.913624596,60,51.5,0,5.5,69
0,2023-05-31T23:30:00.000,1419,13.05,76,41.980264315,-87.913624596,5,34,0,5.5,39.5
2.14,2023-05-31T23:30:00.000,169,0.42,6,41.944226601,-87.655998182,6,9,0,0,11.14
4.63,2023-05-31T23:30:00.000,948,7.37,3,41.96581197,-87.655878786,32,20.27,0,0,24.9
0,2023-05-31T23:30:00.000,345,1.82,76,41.97907082,-87.903039661,,8,0,5.5,14
5,2023-05-31T23:30:00.000,1920,13.6,76,41.980264315,-87.913624596,1,36.5,0,5,46.5
10.56,2023-05-31T23:30:00.000,1868,14.3,76,41.980264315,-87.913624596,77,36.75,0,5,52.81
0,2023-05-31T23:30:00.000,1796,11.02,,,,76,34,0,19.5,53.5
0,2023-05-31T23:30:00.000,1049,12.21,28,41.874005383,-87.66351755,49,42.02,0,0,42.02
6,2023-05-31T23:30:00.000,1171,13.9,76,41.980264315,-87.913624596,,35,2,21,64.5
0,2023-05-31T23:30:00.000,1886,8.81,33,41.857183858,-87.620334624,39,28,0,0,28
1.93,2023-05-31T23:30:00.000,286,0.97,8,41.899602111,-87.633308037,8,9,0,0,10.93
7.15,2023-05-31T23:30:00.000,1226,12.18,76,41.980264315,-87.913624596,14,31.25,0,4,42.9
10,2023-05-31T23:30:00.000,1560,16.2,76,41.980264315,-87.913624596,,40.75,0,27,77.75
0,2023-05-31T23:30:00.000,1674,8.59,37,41.80908443,-87.632424524,42,25,0,0,25
0,2023-05-31T23:30:00.000,60,0,1,42.009622881,-87.670166857,1,0,0,0,0
0,2023-05-31T23:30:00.000,0,0,,,,,42.5,0,0,42.5
0,2023-05-31T23:30:00.000,958,8.06,3,41.96581197,-87.655878786,32,22,0,0,22
9.3,2023-05-31T23:30:00.000,1620,16.7,76,41.97907082,-87.903039661,8,42,0,4,55.3
0,2023-05-31T23:30:00.000,1020,0.2,8,41.899602111,-87.633308037,6,12.5,0,0,12.5
11.62,2023-05-31T23:30:00.000,1361,17.29,76,41.97907082,-87.903039661,32,42,0,4,58.12
0,2023-05-31T23:30:00.000,1817,14.4,76,41.980264315,-87.913624596,6,37.75,0,4,41.75
0,2023-05-31T23:30:00.000,948,2,8,41.892042136,-87.63186395,8,10,0,0,10
0,2023-05-31T23:30:00.000,1032,8.96,,,,,23.75,0,6,29.75
3.3,2023-05-31T23:30:00.000,8,0.07,8,41.892042136,-87.63186395,32,16,0,0,19.8
3.44,2023-05-31T23:30:00.000,337,2.61,76,41.97907082,-87.903039661,,9.25,0,4,17.19
0,2023-05-31T23:30:00.000,348,0.93,8,41.899602111,-87.633308037,8,6,0,0,6
2,2023-05-31T23:30:00.000,610,1.7,,,,,8.25,0,0,10.75
9,2023-05-31T23:30:00.000,1674,16.23,76,41.980264315,-87.913624596,1,40.5,0,4,54
0,2023-05-31T23:30:00.000,671,1.77,32,41.878865584,-87.625192142,32,8.5,0,1,9.5
0,2023-05-31T23:30:00.000,275,2.74,76,41.97907082,-87.903039661,,9.25,0,4,13.75
8.7,2023-05-31T23:30:00.000,1680,0.9,56,41.79259236,-87.769615453,6,38,0,5,51.7
8.25,2023-05-31T23:30:00.000,1740,14.2,76,41.980264315,-87.913624596,6,36.75,0,4,49
7.35,2023-05-31T23:30:00.000,1149,12.57,56,41.785998518,-87.750934289,32,32.25,0,4,44.1
9.15,2023-05-31T23:30:00.000,1643,16.44,,,,,41.25,0,4,54.9
0,2023-05-31T23:30:00.000,494,2.71,76,41.97907082,-87.903039661,,10,0,5,15
3.75,2023-05-31T23:30:00.000,1131,12.94,56,41.79259236,-87.769615453,8,32.75,0,4,41
3.6,2023-05-31T23:30:00.000,780,0.2,76,41.980264315,-87.913624596,76,12.5,0,5,21.1
9.45,2023-05-31T23:30:00.000,1296,17.54,76,41.980264315,-87.913624596,28,42.75,0,4,56.7
0,2023-05-31T23:30:00.000,360,1.1,8,41.899602111,-87.633308037,8,6.25,0,0,6.25
0,2023-05-31T23:30:00.000,1260,5.9,7,41.922686284,-87.649488729,24,18,0,0,18
11.35,2023-05-31T23:30:00.000,1260,16.7,76,41.980264315,-87.913624596,28,41,0,4,56.35
0,2023-05-31T23:15:00.000,1461,8.46,76,41.980264315,-87.913624596,,24.75,0,5,30.25
1,2023-05-31T23:15:00.000,465,3.75,28,41.874005383,-87.66351755,7,11.35,0,0,12.35
0,2023-05-31T23:15:00.000,0,0,7,41.922686284,-87.649488729,7,3.25,0,0,3.25
6.64,2023-05-31T23:15:00.000,1293,16.24,76,41.980264315,-87.913624596,24,39.75,0,4,50.89
3.65,2023-05-31T23:15:00.000,600,4.6,76,41.980264315,-87.913624596,76,13.75,0,4,21.4
12.12,2023-05-31T23:15:00.000,1334,17.8,76,41.97907082,-87.903039661,8,44,0,4,60.62
3,2023-05-31T23:15:00.000,1980,1.1,76,41.97907082,-87.903039661,32,47.5,0,10,60.5
6.4,2023-05-31T23:15:00.000,1200,10.5,56,41.79259236,-87.769615453,28,27.5,0,4,37.9
0,2023-05-31T23:15:00.000,1519,18.4,76,41.97907082,-87.903039661,,45,0,4,49.5
7.39,2023-05-31T23:15:00.000,1490,18.15,76,41.97907082,-87.903039661,32,44.75,0,4,56.64
7.35,2023-05-31T23:15:00.000,1260,11.8,56,41.785998518,-87.750934289,32,31.25,0,5,43.6
10.2,2023-05-31T23:15:00.000,1464,18.99,76,41.980264315,-87.913624596,32,46.5,0,4,61.2
0,2023-05-31T23:15:00.000,745,6.48,76,41.97907082,-87.903039661,,18.25,0,0,18.75
4,2023-05-31T23:15:00.000,8,0,28,41.874005383,-87.66351755,28,10,0,0,14.5
4,2023-05-31T23:15:00.000,493,2.38,76,41.980264315,-87.913624596,76,9.25,0,1.5,15.25
0,2023-05-31T23:15:00.000,1950,20.59,56,41.79259236,-87.769615453,77,50.5,0,4,54.5
0,2023-05-31T23:15:00.000,1001,8.56,56,41.79259236,-87.769615453,31,23,0,5.5,28.5
5.12,2023-05-31T23:15:00.000,741,5.31,76,41.980264315,-87.913624596,,16,0,4,25.62
8.3,2023-05-31T23:15:00.000,2100,14.2,76,41.980264315,-87.913624596,1,37,0,4,49.3
0.05,2023-05-31T23:15:00.000,1692,8.6,76,41.980264315,-87.913624596,,25.5,0,4,29.55
0,2023-05-31T23:15:00.000,1113,11.81,34,41.842076117,-87.633973422,70,30.75,0,0,30.75
0,2023-05-31T23:15:00.000,1492,18,76,41.97907082,-87.903039661,,44.75,0,27.75,73
7.45,2023-05-31T23:15:00.000,1121,12.81,76,41.980264315,-87.913624596,22,32.75,0,4,44.7
0,2023-05-31T23:15:00.000,2059,15.21,76,41.980264315,-87.913624596,6,40.25,0,4,44.25
2.8,2023-05-31T23:15:00.000,780,3.2,8,41.899602111,-87.633308037,33,12,0,1.5,16.3
4.85,2023-05-31T23:15:00.000,1222,0,3,41.96581197,-87.655878786,32,21.23,0,0,26.08
3.11,2023-05-31T23:15:00.000,768,5,76,41.980264315,-87.913624596,10,15.25,0,5,23.86
5,2023-05-31T23:15:00.000,1888,20.35,76,41.97907082,-87.903039661,,50.25,0,32,87.75
5.12,2023-05-31T23:15:00.000,626,5.53,76,41.980264315,-87.913624596,10,16,0,4,25.62
3,2023-05-31T23:15:00.000,367,1.15,8,41.899602111,-87.633308037,8,6.25,0,1.5,11.25
6,2023-05-31T23:15:00.000,1500,1.1,76,41.980264315,-87.913624596,32,45,0,4,55
3.5,2023-05-31T23:15:00.000,466,4.27,76,41.97907082,-87.903039661,76,13,0,4,21
0,2023-05-31T23:15:00.000,0,0,,,,,38,0,0,38
5,2023-05-31T23:15:00.000,2127,14.6,76,41.980264315,-87.913624596,77,38.25,0,4,47.75
3.01,2023-05-31T23:15:00.000,945,0,,,,,13.1,0,0,16.11
2.36,2023-05-31T23:15:00.000,459,3.01,76,41.980264315,-87.913624596,76,10.25,0,5,18.11
0,2023-05-31T23:15:00.000,600,0.3,76,41.980264315,-87.913624596,,15.25,0,5.5,20.75
2,2023-05-31T23:15:00.000,383,1.28,32,41.884987192,-87.620992913,8,9,0,0,11
0,2023-05-31T23:15:00.000,1560,14.9,76,41.980264315,-87.913624596,,38.75,0,28.35,67.1
0,2023-05-31T23:15:00.000,1440,0.6,72,41.713148612,-87.675075312,41,28,0,0,28
12.5,2023-05-31T23:15:00.000,1269,18.19,76,41.97907082,-87.903039661,32,44.5,0,5,62.5
2.14,2023-05-31T23:15:00.000,381,1.48,32,41.880994471,-87.632746489,8,9,0,0,11.14
9.65,2023-05-31T23:15:00.000,1335,17.92,76,41.980264315,-87.913624596,8,43.75,0,4,57.9
0,2023-05-31T23:15:00.000,540,0.1,32,41.878865584,-87.625192142,8,8.75,0,1,9.75
0,2023-05-31T23:15:00.000,475,2.89,76,41.97907082,-87.903039661,,10,0,0,10
0,2023-05-31T23:15:00.000,480,1.5,8,41.899602111,-87.633308037,8,7,0,0,7
8.6,2023-05-31T23:15:00.000,1748,14.98,76,41.980264315,-87.913624596,6,38.5,0,4,51.6
12.1,2023-05-31T23:15:00.000,1800,1.1,32,41.884987192,-87.620992913,,45.5,0,14.5,72.1
2,2023-05-31T23:15:00.000,480,1,8,41.892042136,-87.63186395,8,6.75,0,0,8.75
7.35,2023-05-31T23:15:00.000,1550,17.46,76,41.97907082,-87.903039661,32,43.5,0,5,56.35
0,2023-05-31T23:15:00.000,840,0,10,41.985015101,-87.804532006,28,28.75,0,0,28.75
4.55,2023-05-31T23:15:00.000,1703,7.44,8,41.899602111,-87.633308037,77,22.25,0,0,27.3
3.8,2023-05-31T23:15:00.000,1260,0,76,41.97907082,-87.903039661,,38.25,0,23,65.05
0,2023-05-31T23:15:00.000,0,0,32,41.878865584,-87.625192142,32,3.25,0,0,3.25
10.45,2023-05-31T23:15:00.000,1800,18.4,76,41.980264315,-87.913624596,8,46.75,0,5,62.7
0,2023-05-31T23:15:00.000,892,11.86,11,41.978829526,-87.771166703,,30,0,0,30
0,2023-05-31T23:15:00.000,105,0.21,8,41.899602111,-87.633308037,8,4,0,0,4
9.3,2023-05-31T23:15:00.000,1410,15.45,76,41.980264315,-87.913624596,7,39,0,7,55.8
8.2,2023-05-31T23:15:00.000,1678,14.32,76,41.980264315,-87.913624596,77,36.5,0,4,49.2
0,2023-05-31T23:15:00.000,528,1.59,32,41.878865584,-87.625192142,8,8,0,2,10
7.7,2023-05-31T23:15:00.000,1319,13.06,56,41.79259236,-87.769615453,8,34,0,4,46.2
15.45,2023-05-31T23:15:00.000,1399,19.23,76,41.97907082,-87.903039661,,46.75,0,30,92.7
4,2023-05-31T23:15:00.000,300,1.8,76,41.97907082,-87.903039661,,7.5,0,4,16
8.85,2023-05-31T23:15:00.000,1564,15.1,76,41.980264315,-87.913624596,24,38.25,0,5.5,53.1
6.2,2023-05-31T23:15:00.000,1560,9.6,56,41.79259236,-87.769615453,,26.5,0,4,36.7
0,2023-05-31T23:15:00.000,6,0,,,,,25,0,0,25.5
0,2023-05-31T23:15:00.000,1519,12.19,76,41.980264315,-87.913624596,5,31.5,0,4,35.5
0,2023-05-31T23:15:00.000,1207,4.72,32,41.878865584,-87.625192142,23,16.25,0,0,16.25
